"module name","license","repository"
"@adobe/css-tools@4.4.4","MIT","https://github.com/adobe/css-tools"
"@alloc/quick-lru@5.2.0","MIT","https://github.com/sindresorhus/quick-lru"
"@ampproject/remapping@2.3.0","Apache-2.0","https://github.com/ampproject/remapping"
"@asamuzakjp/css-color@3.2.0","MIT","https://github.com/asamuzaK/cssColor"
"@babel/code-frame@7.27.1","MIT","https://github.com/babel/babel"
"@babel/compat-data@7.28.0","MIT","https://github.com/babel/babel"
"@babel/core@7.28.3","MIT","https://github.com/babel/babel"
"@babel/generator@7.28.3","MIT","https://github.com/babel/babel"
"@babel/helper-compilation-targets@7.27.2","MIT","https://github.com/babel/babel"
"@babel/helper-globals@7.28.0","MIT","https://github.com/babel/babel"
"@babel/helper-module-imports@7.27.1","MIT","https://github.com/babel/babel"
"@babel/helper-module-transforms@7.28.3","MIT","https://github.com/babel/babel"
"@babel/helper-plugin-utils@7.27.1","MIT","https://github.com/babel/babel"
"@babel/helper-string-parser@7.27.1","MIT","https://github.com/babel/babel"
"@babel/helper-validator-identifier@7.27.1","MIT","https://github.com/babel/babel"
"@babel/helper-validator-option@7.27.1","MIT","https://github.com/babel/babel"
"@babel/helpers@7.28.3","MIT","https://github.com/babel/babel"
"@babel/parser@7.28.3","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-react-jsx-self@7.27.1","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-react-jsx-source@7.27.1","MIT","https://github.com/babel/babel"
"@babel/runtime@7.28.3","MIT","https://github.com/babel/babel"
"@babel/template@7.27.2","MIT","https://github.com/babel/babel"
"@babel/traverse@7.28.3","MIT","https://github.com/babel/babel"
"@babel/types@7.28.2","MIT","https://github.com/babel/babel"
"@bcoe/v8-coverage@1.0.2","MIT","https://github.com/bcoe/v8-coverage"
"@csstools/color-helpers@5.1.0","MIT-0","https://github.com/csstools/postcss-plugins"
"@csstools/css-calc@2.1.4","MIT","https://github.com/csstools/postcss-plugins"
"@csstools/css-color-parser@3.1.0","MIT","https://github.com/csstools/postcss-plugins"
"@csstools/css-parser-algorithms@3.0.5","MIT","https://github.com/csstools/postcss-plugins"
"@csstools/css-tokenizer@3.0.4","MIT","https://github.com/csstools/postcss-plugins"
"@esbuild/darwin-arm64@0.25.9","MIT","https://github.com/evanw/esbuild"
"@eslint-community/eslint-utils@4.7.0","MIT","https://github.com/eslint-community/eslint-utils"
"@eslint-community/regexpp@4.12.1","MIT","https://github.com/eslint-community/regexpp"
"@eslint/config-array@0.21.0","Apache-2.0","https://github.com/eslint/rewrite"
"@eslint/config-helpers@0.3.1","Apache-2.0","https://github.com/eslint/rewrite"
"@eslint/core@0.15.2","Apache-2.0","https://github.com/eslint/rewrite"
"@eslint/eslintrc@3.3.1","MIT","https://github.com/eslint/eslintrc"
"@eslint/js@9.34.0","MIT","https://github.com/eslint/eslint"
"@eslint/object-schema@2.1.6","Apache-2.0","https://github.com/eslint/rewrite"
"@eslint/plugin-kit@0.3.5","Apache-2.0","https://github.com/eslint/rewrite"
"@humanfs/core@0.19.1","Apache-2.0","https://github.com/humanwhocodes/humanfs"
"@humanfs/node@0.16.6","Apache-2.0","https://github.com/humanwhocodes/humanfs"
"@humanwhocodes/module-importer@1.0.1","Apache-2.0","https://github.com/humanwhocodes/module-importer"
"@humanwhocodes/retry@0.3.1","Apache-2.0","https://github.com/humanwhocodes/retry"
"@humanwhocodes/retry@0.4.3","Apache-2.0","https://github.com/humanwhocodes/retry"
"@isaacs/cliui@8.0.2","ISC","https://github.com/yargs/cliui"
"@isaacs/fs-minipass@4.0.1","ISC","https://github.com/npm/fs-minipass"
"@istanbuljs/schema@0.1.3","MIT","https://github.com/istanbuljs/schema"
"@jridgewell/gen-mapping@0.3.13","MIT","https://github.com/jridgewell/sourcemaps"
"@jridgewell/remapping@2.3.5","MIT","https://github.com/jridgewell/sourcemaps"
"@jridgewell/resolve-uri@3.1.2","MIT","https://github.com/jridgewell/resolve-uri"
"@jridgewell/source-map@0.3.11","MIT","https://github.com/jridgewell/sourcemaps"
"@jridgewell/sourcemap-codec@1.5.5","MIT","https://github.com/jridgewell/sourcemaps"
"@jridgewell/trace-mapping@0.3.30","MIT","https://github.com/jridgewell/sourcemaps"
"@nodelib/fs.scandir@2.1.5","MIT","https://github.com/nodelib/nodelib/tree/master/packages/fs/fs.scandir"
"@nodelib/fs.stat@2.0.5","MIT","https://github.com/nodelib/nodelib/tree/master/packages/fs/fs.stat"
"@nodelib/fs.walk@1.2.8","MIT","https://github.com/nodelib/nodelib/tree/master/packages/fs/fs.walk"
"@pkgjs/parseargs@0.11.0","MIT","https://github.com/pkgjs/parseargs"
"@polka/url@1.0.0-next.29","MIT","https://github.com/lukeed/polka"
"@rolldown/pluginutils@1.0.0-beta.34","MIT","https://github.com/rolldown/rolldown"
"@rollup/rollup-darwin-arm64@4.50.0","MIT","https://github.com/rollup/rollup"
"@tailwindcss/node@4.1.12","MIT","https://github.com/tailwindlabs/tailwindcss"
"@tailwindcss/oxide-darwin-arm64@4.1.12","MIT","https://github.com/tailwindlabs/tailwindcss"
"@tailwindcss/oxide@4.1.12","MIT","https://github.com/tailwindlabs/tailwindcss"
"@tailwindcss/postcss@4.1.12","MIT","https://github.com/tailwindlabs/tailwindcss"
"@testing-library/dom@10.4.1","MIT","https://github.com/testing-library/dom-testing-library"
"@testing-library/jest-dom@6.8.0","MIT","https://github.com/testing-library/jest-dom"
"@testing-library/react@16.3.0","MIT","https://github.com/testing-library/react-testing-library"
"@testing-library/user-event@14.6.1","MIT","https://github.com/testing-library/user-event"
"@types/aria-query@5.0.4","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/babel__core@7.20.5","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/babel__generator@7.27.0","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/babel__template@7.4.4","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/babel__traverse@7.28.0","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/chai@5.2.2","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/deep-eql@4.0.2","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/estree@1.0.8","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/json-schema@7.0.15","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/node@24.3.0","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/react-dom@19.1.9","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
